OBJECTID,title,description,dataStreamName,dataStreamDescription,dataStreamObsType,dataStreamUniCategory,observationProObsUID,observationResCatObsPheTime,observationResCatObsResTime,observationResCatObsResult,obsResCatObsResult_type,Indentified by Human,Identified by Machine,observationResCatObsSubTime,observationImaImaStatus,observationImaImaResult,observationConParameters,Aegypti Certainty,Tiger Certainty,omProcessLicLicName,omProcessLicLicURI,omProcessLicLicAttSource,omProcessLicAttAggregator,omPrcoessProType,omProcessProReference,omPrcoessResQuaValStatus,omPrcoessResQuaValMethod,omPrcoessResQuaValResult,omPrcoessResQuaQuaGrade,observedProName,observedProDescription,observedProDefinition,sensorName,sensorDescription,sensorEncType,locationName,locationDescription,locationEncType,latitude,longitude,thingName,thingDescription,featureIntName,featureIntDescription,featureIntEncType,featureIntLocation,type,coordinates,nuts_3,nuts_2,Speed,Direction of travel (°),Compass reading (°),Position source type,Receiver Name,Horizontal Accuracy (m),Altitude,PDOP,HDOP,VDOP,Fix Type,Correction Age,Station ID,Number of Satellites,Fix Time,Average Horizontal Accuracy (m),Average Vertical Accuracy (m),Averaged Positions,Standard Deviation (m),x,y
10,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",692d483b-fbef-47ad-ad41-c5ffc339db7f,2025-06-03T12:04:29.001864Z,2025-06-03T12:04:29.001864Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': 'Aedes albopictus'}",,,Aedes albopictus,2025-06-03T12:04:29.001864Z,1,https://webserver.mosquitoalert.com/media/tigapics/1e734d56-e6d9-4aa7-a054-c78666b066c3.jpg,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,692d483b-fbef-47ad-ad41-c5ffc339db7f,Anonymous cell phone user:692d483b-fbef-47ad-ad41-c5ffc339db7f,Varies,"Scorzè, Venezia, Veneto, Italy",indoors,GeoJSON Point,45.5719185,12.1004095,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[12.1004095, 45.5719185]",,,,,,,,,,,,,,,,,,,,,,12.1004095,45.5719185
11,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",a8fb12eb-15f0-486e-9811-acfc2a017fd0,2025-06-03T12:01:53.730085Z,2025-06-03T12:01:53.730085Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T12:01:53.730085Z,1,https://webserver.mosquitoalert.com/media/tigapics/5d221069-a59c-40b0-9343-65330264be58.jpg,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,a8fb12eb-15f0-486e-9811-acfc2a017fd0,Anonymous cell phone user:a8fb12eb-15f0-486e-9811-acfc2a017fd0,Varies,"Barcelona, Barcelona, Cataluña, Spain",outdoors,GeoJSON Point,41.4033706,2.2003305,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[2.2003305, 41.4033706]",,,,,,,,,,,,,,,,,,,,,,2.2003305,41.4033706
12,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",a7424b92-bfce-4e58-8e71-bd854a1ce4ea,2025-06-03T11:06:13.111837Z,2025-06-03T11:06:13.111837Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T11:06:13.111837Z,0,,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,a7424b92-bfce-4e58-8e71-bd854a1ce4ea,Anonymous cell phone user:a7424b92-bfce-4e58-8e71-bd854a1ce4ea,Varies,"Graz, Graz, Steiermark, Austria",indoors,GeoJSON Point,47.05522,15.4150616,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[15.4150616, 47.05522]",,,,,,,,,,,,,,,,,,,,,,15.4150616,47.05522
13,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",89e6b058-c5bc-4b98-a4c4-a7ef3183bfe2,2025-06-03T09:42:29.355389Z,2025-06-03T09:42:29.355389Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T09:42:29.355389Z,1,https://webserver.mosquitoalert.com/media/tigapics/f6049a9b-7f28-421c-9c22-9a5b6f7509b4.jpg,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,89e6b058-c5bc-4b98-a4c4-a7ef3183bfe2,Anonymous cell phone user:89e6b058-c5bc-4b98-a4c4-a7ef3183bfe2,Varies,"Vigo, Pontevedra, Galicia, Spain",indoors,GeoJSON Point,42.2321487,-8.6716445,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[-8.6716445, 42.2321487]",,,,,,,,,,,,,,,,,,,,,,-8.6716445,42.2321487
14,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",dd5e96ae-4367-459d-8193-5f9694e4b1ee,2025-06-03T09:36:20.069300Z,2025-06-03T09:36:20.069300Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T09:36:20.069300Z,0,,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,dd5e96ae-4367-459d-8193-5f9694e4b1ee,Anonymous cell phone user:dd5e96ae-4367-459d-8193-5f9694e4b1ee,Varies,"Mogán, Gran Canaria, Canarias, Spain",indoors,GeoJSON Point,27.758158569271806,-15.678616091609001,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[-15.678616091609001, 27.758158569271806]",,,,,,,,,,,,,,,,,,,,,,-15.678616091609001,27.758158569271806
15,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",afd1f266-a502-4d74-814d-044195b364df,2025-06-03T09:16:47.372240Z,2025-06-03T09:16:47.372240Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T09:16:47.372240Z,0,,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,afd1f266-a502-4d74-814d-044195b364df,Anonymous cell phone user:afd1f266-a502-4d74-814d-044195b364df,Varies,"Scorzè, Venezia, Veneto, Italy",outdoors,GeoJSON Point,45.5719243,12.100438,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[12.100438, 45.5719243]",,,,,,,,,,,,,,,,,,,,,,12.100438,45.5719243
16,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",b632ac9f-6957-46d4-923e-0c48200a0f9b,2025-06-03T08:53:26.998929Z,2025-06-03T08:53:26.998929Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T08:53:26.998929Z,1,https://webserver.mosquitoalert.com/media/tigapics/b8d235b2-3abf-42bf-adcb-de7721c8f051.jpg,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,b632ac9f-6957-46d4-923e-0c48200a0f9b,Anonymous cell phone user:b632ac9f-6957-46d4-923e-0c48200a0f9b,Varies,"Sevilla, Sevilla, Andalucía, Spain",indoors,GeoJSON Point,37.4079202,-5.9275045,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[-5.9275045, 37.4079202]",,,,,,,,,,,,,,,,,,,,,,-5.9275045,37.4079202
17,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",c06cd084-bb09-4942-bc66-f6422bf9b5d5,2025-06-03T08:46:14.588590Z,2025-06-03T08:46:14.588590Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T08:46:14.588590Z,1,https://webserver.mosquitoalert.com/media/tigapics/ce873675-c7c9-4e72-a437-cd4060547c00.jpg,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,c06cd084-bb09-4942-bc66-f6422bf9b5d5,Anonymous cell phone user:c06cd084-bb09-4942-bc66-f6422bf9b5d5,Varies,"Sevilla, Sevilla, Andalucía, Spain",indoors,GeoJSON Point,37.4078852,-5.9275036,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[-5.9275036, 37.4078852]",,,,,,,,,,,,,,,,,,,,,,-5.9275036,37.4078852
18,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",20edb4fc-1a97-4dfd-993e-cec2e2ab2a11,2025-06-03T08:29:38.374581Z,2025-06-03T08:29:38.374581Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T08:29:38.374581Z,0,,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,20edb4fc-1a97-4dfd-993e-cec2e2ab2a11,Anonymous cell phone user:20edb4fc-1a97-4dfd-993e-cec2e2ab2a11,Varies,"Graz, Graz, Steiermark, Austria",indoors,GeoJSON Point,47.0624574,15.4579608,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[15.4579608, 47.0624574]",,,,,,,,,,,,,,,,,,,,,,15.4579608,47.0624574
19,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",b195cd68-c589-4b21-b822-14e483273f8d,2025-06-03T08:26:25.392793Z,2025-06-03T08:26:25.392793Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': 'Culex'}",,,Culex,2025-06-03T08:26:25.392793Z,1,https://webserver.mosquitoalert.com/media/tigapics/7419602d-c79a-477a-8288-c58cfce562e5.jpg,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,b195cd68-c589-4b21-b822-14e483273f8d,Anonymous cell phone user:b195cd68-c589-4b21-b822-14e483273f8d,Varies,"Madrid, Madrid, Comunidad de Madrid, Spain",indoors,GeoJSON Point,40.39252990427585,-3.6941132694482803,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[-3.6941132694482803, 40.39252990427585]",,,,,,,,,,,,,,,,,,,,,,-3.6941132694482803,40.39252990427585
20,Citizen science data on mosquitoes from Mosquito Alert with additional automated ID,Data is generated from the Mosquito Alert database,mosquito species occurrence data from user cell phone,"All species occurrence, site, or bite observations from a particular user taken with a sensor",category observation,"{'Type': 'Lifecycle Phase', 'Identified by Human': 'Class and genus or species if verified from image', 'Identified by Machine': 'Genus and species if mosquito is flagged as a target invasive or vector by ML system'}",bf17f3d5-94a4-44c7-beb2-86a212fb2aa1,2025-06-03T05:47:55.442565Z,2025-06-03T05:47:55.442565Z,"{'Type': '', 'Indentified by Human': '', 'Identified by Machine': ''}",,,,2025-06-03T05:47:55.442565Z,1,https://webserver.mosquitoalert.com/media/tigapics/1a35303b-5502-4672-ae99-5c951fe8d5ce.jpg,"{'Aegypti Certainty': '', 'Tiger Certainty': '', 'site_cat': '', 'nuts_3': '', 'nuts_2': ''}",,,CC0,http://creativecommons.org/publicdomain/zero/1.0/,This data set has been created through the efforts of the Mosquito Alert team and the thousands of citizen scientists who have volunteered their energy and contributed reports on the Mosquito Alert platform. We ask that you give attribution to the Mosquito Alert Community if you use this data in any publications.,,Sensor,http://www.mosquitoalert.com/en/project/what-is-mosquito-alert/,1,Human expert validation,0,Casual,,"Whether a species is observed at a location, a breeding site is documented, or bites are reported",http://www.mosquitoalert.com/en/project/envia-datos/,bf17f3d5-94a4-44c7-beb2-86a212fb2aa1,Anonymous cell phone user:bf17f3d5-94a4-44c7-beb2-86a212fb2aa1,Varies,"Bilbao, Bizkaia, País Vasco, Spain",indoors,GeoJSON Point,43.2591333,-2.9084583,sensor.name,sensor.description,location.name,location.description,GeoJSON Point,"latitude, longitude",FeatureCollection,"[-2.9084583, 43.2591333]",,,,,,,,,,,,,,,,,,,,,,-2.9084583,43.2591333
